episode_id,show_type,campaign,arc,episode_number,title,airdate,vod_url,wiki_url,runtime,watched,notes,has_cooldown,cooldown_date
Talk Show|Talks Machina|79|Commerce & Chaos,Talk Show,Talks Machina,,79,Commerce & Chaos,2018-08-21,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/390xOs2qJpY,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_79,,False,Hosted by Brian Wayne Foster,False,
Main Campaign|Campaign Two: The Mighty Nein|32|Beyond the Boundaries,Main Campaign,Campaign Two: The Mighty Nein,Iron and Blood,32,Beyond the Boundaries,2018-08-23,https://www.youtube.com/watch?v=aRQr1QMNHsQ,https://criticalrole.fandom.com/wiki/Beyond_the_Boundaries,3:45:21,False,,False,
Talk Show|Talks Machina|80|Beyond the Boundaries,Talk Show,Talks Machina,,80,Beyond the Boundaries,2018-08-28,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/k0eUbNl5v7g,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_80,,False,Hosted by Brian Wayne Foster,False,
Webseries|Handbooker Helper|1|Dice 101,Webseries,Handbooker Helper,,1,Dice 101,2018-08-29,https://youtu.be/qQq_WsPFiDs,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
Special|Specials|C2E32b|Liam's One Shot: The Song of the Lorelei,Special,Specials,,C2E32b,Liam's One Shot: The Song of the Lorelei,2018-08-31,https://youtu.be/cb1z68RELN4,https://criticalrole.fandom.com/wiki/Liam%27s_One_Shot:_The_Song_of_the_Lorelei,4:37:22,False,,False,
Webseries|Handbooker Helper|2|Ability Scores,Webseries,Handbooker Helper,,2,Ability Scores,2018-09-05,https://youtu.be/WoV5iM7peOg,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
Main Campaign|Campaign Two: The Mighty Nein|33|The Ruby and the Sapphire,Main Campaign,Campaign Two: The Mighty Nein,Iron and Blood,33,The Ruby and the Sapphire,2018-09-06,https://www.youtube.com/watch?v=QbrorVyH4mk,https://criticalrole.fandom.com/wiki/The_Ruby_and_the_Sapphire,3:54:09,False,,False,
Talk Show|Talks Machina|81|The Ruby and the Sapphire,Talk Show,Talks Machina,,81,The Ruby and the Sapphire,2018-09-11,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/y4gnkTbeVZ8,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_81,,False,Hosted by Brian Wayne Foster,False,
"Webseries|Handbooker Helper|3|Ability Checks, Proficiencies & Saving Throws",Webseries,Handbooker Helper,,3,"Ability Checks, Proficiencies & Saving Throws",2018-09-12,https://youtu.be/nVEX4J2Sh4A,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
Main Campaign|Campaign Two: The Mighty Nein|34|Encroaching Waters,Main Campaign,Campaign Two: The Mighty Nein,Iron and Blood,34,Encroaching Waters,2018-09-13,https://www.youtube.com/watch?v=GcmINbstp-E,https://criticalrole.fandom.com/wiki/Encroaching_Waters,4:22:52,False,,False,
Webseries|Between the Sheets|1|Taliesin Jaffe,Webseries,Between the Sheets,,1,Taliesin Jaffe,2018-09-17,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/gZyspWOP0o8,https://criticalrole.fandom.com/wiki/Between_the_Sheets,,False,Hosted by Brian Wayne Foster,False,
Talk Show|Talks Machina|82|Encroaching Waters,Talk Show,Talks Machina,,82,Encroaching Waters,2018-09-18,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/XdjbYE7UAsg,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_82,,False,Hosted by Brian Wayne Foster,False,
Webseries|EverythingIsContent|1|Critical Mom,Webseries,EverythingIsContent,,1,Critical Mom,2018-09-18,https://youtu.be/1I4B6quH_sM,https://criticalrole.fandom.com/wiki/EverythingIsContent,,False,,False,
Webseries|Handbooker Helper|4|Death Saving Throws,Webseries,Handbooker Helper,,4,Death Saving Throws,2018-09-19,https://youtu.be/qo7zMVrdyXo,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
Main Campaign|Campaign Two: The Mighty Nein|35|Dockside Diplomacy,Main Campaign,Campaign Two: The Mighty Nein,Iron and Blood,35,Dockside Diplomacy,2018-09-20,https://www.youtube.com/watch?v=39TP4YZHf3M,https://criticalrole.fandom.com/wiki/Dockside_Diplomacy,3:51:25,False,,False,
"Special|Specials|C2E35a|Crash Pandas: Too Trashed, Too Curious",Special,Specials,,C2E35a,"Crash Pandas: Too Trashed, Too Curious",2018-09-21,https://youtu.be/c9EP7jiVJnU,"https://criticalrole.fandom.com/wiki/Crash_Pandas:_Too_Trashed,_Too_Curious",2:53:15,False,,False,
Talk Show|Talks Machina|83|Dockside Diplomacy,Talk Show,Talks Machina,,83,Dockside Diplomacy,2018-09-25,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/ftA1rZ76BF0,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_83,,False,Hosted by Brian Wayne Foster,False,
Webseries|Handbooker Helper|5|Armour 101,Webseries,Handbooker Helper,,5,Armour 101,2018-09-26,https://youtu.be/V36iOTmG6-c,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
"Main Campaign|Campaign Two: The Mighty Nein|36|O Captain, Who's Captain?",Main Campaign,Campaign Two: The Mighty Nein,Adventure on the High Seas,36,"O Captain, Who's Captain?",2018-09-27,https://www.youtube.com/watch?v=AB-yVfipWTU,"https://criticalrole.fandom.com/wiki/O_Captain,_Who%27s_Captain%3F",4:04:53,False,,False,
Webseries|All Work No Play|1|Sword Fighting,Webseries,All Work No Play,,1,Sword Fighting,2018-09-28,https://critrole.com/qtvideo/all-work-no-play-sword-fighting-s1-ep1/,https://criticalrole.fandom.com/wiki/All_Work_No_Play,,False,,False,
Webseries|Between the Sheets|2|Travis Willingham,Webseries,Between the Sheets,,2,Travis Willingham,2018-10-01,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/0Rn8pTW2y-A,https://criticalrole.fandom.com/wiki/Between_the_Sheets,,False,Hosted by Brian Wayne Foster,False,
"Talk Show|Talks Machina|84|O Captain, Who's Captain?",Talk Show,Talks Machina,,84,"O Captain, Who's Captain?",2018-10-02,https://web.archive.org/web/2oe_/http://wayback-fakeurl.archive.org/yt/dtQ_XDO3UqM,https://criticalrole.fandom.com/wiki/Talks_Machina_Episode_84,,False,Hosted by Brian Wayne Foster,False,
Webseries|Handbooker Helper|6|Weapons 101,Webseries,Handbooker Helper,,6,Weapons 101,2018-10-03,https://youtu.be/XAAm3WEpwjI,https://criticalrole.fandom.com/wiki/Handbooker_Helper,,False,D&D 5E tutorial series,False,
